serve_config,bench_config,req_rate,successful,ttft_mean_ms,ttft_p99_ms,tpot_mean_ms,tpot_p99_ms,itl_mean_ms,itl_p99_ms,e2el_mean_ms,e2el_p99_ms,total_tok_input+output,duration_s,total_tok_s
s1_baseline,b1_short_low_qps,1.0,500,124.32,177.15,43.06,56.18,43.06,93.49,5593.34,7255.46,255169+64000,503.90,633.39
s1_baseline,b2_short_med_qps,4.0,500,43698.73,87994.03,53.60,58.73,53.60,96.78,50505.37,94660.51,255169+64000,220.06,1450.38
s1_baseline,b3_short_high_qps,16.0,500,87186.08,172179.38,51.91,58.74,51.91,156.87,93779.13,178963.46,255169+64000,213.64,1493.98
s1_baseline,b4_med_low_qps,1.0,500,158665.63,325573.13,51.77,56.84,51.77,201.77,185119.57,350198.82,1021198+256000,850.78,1501.21
s1_baseline,b5_med_med_qps,4.0,500,337201.05,673284.16,50.91,54.66,50.91,202.36,363214.03,697499.14,1021198+256000,835.51,1528.65
s1_baseline,b6_long_low_qps,1.0,500,573741.91,1149808.20,52.51,58.92,52.51,352.86,627454.97,1202105.52,2045205+512000,1722.90,1484.25
s1_baseline,b7_saturation,,500,201797.56,396745.69,47.68,54.37,47.68,55.63,213955.59,408730.52,510414+128000,416.96,1531.13
s2_med_concurrency,b1_short_low_qps,1.0,500,126.72,196.11,43.39,56.15,43.39,94.08,5637.02,7267.50,255169+64000,503.92,633.37
s2_med_concurrency,b2_short_med_qps,4.0,500,4238.54,9943.88,66.69,71.10,66.69,131.52,12708.64,18709.74,255169+64000,141.04,2263.04
s2_med_concurrency,b3_short_high_qps,16.0,500,47636.91,97174.16,65.48,69.63,65.48,162.49,55952.41,104896.20,255169+64000,135.85,2349.49
s2_med_concurrency,b4_med_low_qps,1.0,500,17802.66,43721.06,66.40,72.25,66.40,208.96,51734.96,77906.07,1021198+256000,564.68,2261.80
s2_med_concurrency,b5_med_med_qps,4.0,500,191431.82,395526.93,66.23,71.16,66.23,210.40,225274.49,423639.37,1021198+256000,546.32,2337.83
s2_med_concurrency,b6_long_low_qps,1.0,500,290208.97,604838.17,69.87,74.40,69.87,364.54,361685.27,666632.57,2045205+512000,1159.96,2204.56
s2_med_concurrency,b7_saturation,,500,128849.89,260412.51,62.80,73.26,62.80,71.88,144863.39,274051.18,510414+128000,274.21,2328.20
s3_high_throughput,b1_short_low_qps,1.0,500,128.31,201.23,43.25,56.72,43.25,93.89,5621.12,7324.16,255169+64000,503.95,633.33
s3_high_throughput,b2_short_med_qps,4.0,500,162.79,258.99,72.61,78.51,72.61,137.45,9384.45,10169.04,255169+64000,131.81,2421.40
s3_high_throughput,b3_short_high_qps,16.0,500,24267.58,49570.09,84.60,89.19,84.60,204.69,35012.24,59613.76,255169+64000,89.47,3567.34
s3_high_throughput,b4_med_low_qps,1.0,500,303.17,584.22,76.86,85.73,76.86,215.13,39578.41,44155.53,1021198+256000,525.36,2431.10
s3_high_throughput,b5_med_med_qps,4.0,500,131005.05,287727.73,88.62,140.89,88.62,468.40,176291.59,314736.73,1021198+256000,437.46,2919.59
s3_high_throughput,b6_long_low_qps,1.0,500,421157.08,878333.86,74.73,126.20,74.73,357.67,497602.21,937384.58,2045205+512000,1425.88,1793.42
s3_high_throughput,b7_saturation,,500,80882.94,161448.02,76.84,88.22,76.85,81.34,100477.64,179502.86,510414+128000,179.66,3553.41
s4_low_concurrency,b1_short_low_qps,1.0,500,414.16,3152.00,40.47,47.40,40.47,92.41,5553.73,8391.05,255169+64000,503.90,633.39
s4_low_concurrency,b2_short_med_qps,4.0,500,101272.60,202903.00,41.34,45.79,41.34,67.99,106523.01,207930.17,255169+64000,335.07,952.54
s4_low_concurrency,b3_short_high_qps,16.0,500,146468.57,289916.62,40.73,46.27,40.73,78.51,151641.01,294945.88,255169+64000,330.10,966.88
s4_low_concurrency,b4_med_low_qps,1.0,500,386699.70,776766.58,40.09,44.32,40.09,196.22,407184.66,796552.78,1021198+256000,1304.15,979.33
s4_low_concurrency,b5_med_med_qps,4.0,500,569733.15,1132568.77,39.73,45.22,39.73,195.43,590036.01,1152445.16,1021198+256000,1292.69,988.02
s4_low_concurrency,b6_long_low_qps,1.0,500,1069118.66,2128597.56,41.54,46.56,41.54,47.02,1111614.39,2171351.65,2045205+512000,2699.71,947.22
s4_low_concurrency,b7_saturation,,500,324199.37,640373.32,39.29,44.03,39.29,45.26,334218.18,650771.88,510414+128000,659.37,968.22